model,params,ms_per_image,dice,iou,precision,recall,specificity,hd95
unet_resnet34,24436369,27.589766184488933,0.8824674790350359,0.838030152406188,0.8935466408729553,0.8766690790653229,0.9951363503932953,3.4966077727902016
unet_scratch,14328209,27.921295166015625,0.8773447376246654,0.8293912586604704,0.9571235775947571,0.8656647801399231,0.9958213120698929,2.6702516252200503
unetpp_resnet34,26078609,49.22668139139811,0.8720885503927444,0.8209080739087139,0.9028228223323822,0.8521548211574554,0.9958162903785706,4.294999086070321
deeplabv3plus,22437457,46.07288042704264,0.8656195902727204,0.8096332963702793,0.8768977969884872,0.8633361905813217,0.993770956993103,4.268052938388492
fpn_resnet34,23155393,30.72923024495443,0.8652398748746374,0.8090785091788645,0.8957951813936234,0.8463065922260284,0.9948828667402267,3.870187903533202
classical_otsu,0,16.18755658467611,0.5033476606555297,0.38809307559639294,0.4126005896024377,0.8969143155183186,0.8658842833372254,52.09315392606254
